parti;groupe;
écologistes indépendants;Indépendant/micro-partis;
Commission Lip;Indépendant/micro-partis;
Femmes du 7e;Indépendant/micro-partis;
Socialistes-démocrates;Indépendant/micro-partis;
Ecologie 1234;Indépendant/micro-partis;
Radicaux et radicaux-socialistes;Indépendant/micro-partis;
Rassemblement des usagers des services publics des contribuables et des groupements de défense;Indépendant/micro-partis;
Comité d'action autogestionnaire et écologique;Indépendant/micro-partis;
Gauche socialiste et radicale;Indépendant/micro-partis;
Association écologique brayonne;Indépendant/micro-partis;
Mouvement pour la défense énergique du bien-être des individus et des loisirs;Indépendant/micro-partis;
Comité de défense contre l'autoroute A15;Indépendant/micro-partis;
Union des démocrates pour la Cinquième République;Indépendant/micro-partis;
Monde-Opinion;Indépendant/micro-partis;
Confédération générale des petites et moyennes entreprises;Indépendant/micro-partis;
Confédération générale des cadres;Indépendant/micro-partis;
Comité d'études économiques;Indépendant/micro-partis;
Comités écologiques;Indépendant/micro-partis;
Carrefour Ve;Indépendant/micro-partis;
Parti européen;Indépendant/micro-partis;
Association Castres écologie;Indépendant/micro-partis;
républicaine socialiste;Indépendant/micro-partis;
Civisme et progrès;Indépendant/micro-partis;
Association démocratie française;Indépendant/micro-partis;
libéraux humanistes régionalistes;Indépendant/micro-partis;
Union pour la liberté;Indépendant/micro-partis;
Cartel du respect de la vie;Indépendant/micro-partis;
Union nationale pour l'avenir de la médecine;Indépendant/micro-partis;
Comités anti-bruit;Indépendant/micro-partis;
Mouvement des gaullistes d'opposition;Indépendant/micro-partis;
Mouvement d'action pour le renouveau du Sud de l'Essonne;Indépendant/micro-partis;
Union gaulliste de l'Yonne;Indépendant/micro-partis;
Initiative républicaine socialiste;Indépendant/micro-partis;
contestataire;Indépendant/micro-partis;
Parti nationaliste révolutionnaire;Indépendant/micro-partis;
Comité anti-outspan;Indépendant/micro-partis;
Comité local des objecteurs;Indépendant/micro-partis;
réformiste;Indépendant/micro-partis;
Groupe autogestionnaire;Indépendant/micro-partis;
Groupe socialiste autogestionnaire;Indépendant/micro-partis;
Comité national des classes moyennes;Indépendant/micro-partis;
Comité national de soutien à l'action du Président de la République;Indépendant/micro-partis;
Comité pour une candidature unitaire des révolutionnaires;Indépendant/micro-partis;
Comité autogestionnaire 93;Indépendant/micro-partis;
Association Montreuil écologie;Indépendant/micro-partis;
Groupe autogestion de Clamart;Indépendant/micro-partis;
Comité des gaullistes d'opposition;Indépendant/micro-partis;
Boulogne-Billancourt écologie;Indépendant/micro-partis;
Comité radical-socialiste;Indépendant/micro-partis;
centristes radicaux-socialistes;Indépendant/micro-partis;
Mouvement d'action écopolitique;Indépendant/micro-partis;
Union des étudiants communistes;Indépendant/micro-partis;
Groupement des associations de défense du Val d'Oise;Indépendant/micro-partis;
Mouvement de défense des libertés individuelles;Indépendant/micro-partis;
Avenir et liberté;Indépendant/micro-partis;
Groupes d'action municipale;Indépendant/micro-partis;
Groupes d'actions municipales;Indépendant/micro-partis;
mouvements écologiques;Indépendant/micro-partis;
Collectifs Antinucléaire 94;Indépendant/micro-partis;
Joinville au Féminin;Indépendant/micro-partis;
Vivre à Joinville;Indépendant/micro-partis;
républicain démocrate social;Indépendant/micro-partis;
Avenir écologique des bords de Marne et Seine;Indépendant/micro-partis;
Alfort au Féminin;Indépendant/micro-partis;
Gauche démocrate socialiste;Indépendant/micro-partis;
Organisation communiste de France marxiste-léniniste;Indépendant/micro-partis;
Ia ora o Polynesia;Indépendant/micro-partis;
Taatiraa Polynesia;Indépendant/micro-partis;
socialisme libéral;Indépendant/micro-partis;
pas de parti politique;Indépendant/micro-partis;
républicain radical;Indépendant/micro-partis;
Oeuvre française;Indépendant/micro-partis;
Comité d'action sociale des commerçants artisans petites entreprises et classes moyennes;Indépendant/micro-partis;
Objectif socialiste;Indépendant/micro-partis;
Centre droite-socialiste;Indépendant/micro-partis;
Choisir;Indépendant/micro-partis;
indépendants de gauche;Indépendant/micro-partis;
radicale;Indépendant/micro-partis;
Association de défense des victimes des procédures civiles pénales et administratives;Indépendant/micro-partis;
Association Albertine-Sarrazin;Indépendant/micro-partis;
Projet Alter Breton;Indépendant/micro-partis;
indépendante;Indépendant/micro-partis;
Centre social français;Indépendant/micro-partis;
Union des gaullistes de gauche;Indépendant/micro-partis;
Europe environnement;Indépendant/micro-partis;
communiste démocratique;Indépendant/micro-partis;
Mouvement socialiste populaire;Indépendant/micro-partis;
Fédération des socialistes démocrates;Indépendant/micro-partis;
Tahoeraa huiraatira;Indépendant/micro-partis;
Convention des institutions républicaines;Indépendant/micro-partis;
Mouvement de la gauche socialiste et démocratique;Indépendant/micro-partis;
écologistes indépendants des partis;Indépendant/micro-partis;
Mouvement démocrate;Indépendant/micro-partis;
Mouvement socialiste occitan Volem viure au païs;Indépendant/micro-partis;
centriste de progrès et de justice sociale;Indépendant/micro-partis;
Mouvement de la gauche libérale;Indépendant/micro-partis;
Convergence autogestionnaire et écologique;Indépendant/micro-partis;
Organisation communiste de France démocratique;Indépendant/micro-partis;
Organisations chrétiennes;Indépendant/micro-partis;
Cercle écologique des Hauts-de-Gironde;Indépendant/micro-partis;
Parti démocrate chrétien;Indépendant/micro-partis;
Mouvement d'écologie politique;Indépendant/micro-partis;
Nord-Ecologie;Indépendant/micro-partis;
Section régionale des Femmes pour la paix;Indépendant/micro-partis;
Comité de défense des droits du piéton;Indépendant/micro-partis;
Comité anti poids lourds Nord;Indépendant/micro-partis;
Mouvement écologique du Nord;Indépendant/micro-partis;
Parti libéral pour la démocratie française;Indépendant/micro-partis;
Jeunes giscardiens;Indépendant/micro-partis;
Mouvement des jeunes giscardiens;Indépendant/micro-partis;
Mouvement pour la France;Indépendant/micro-partis;
gauche libérale et écologiste;Indépendant/micro-partis;
Comité national des gaullistes de gauche;Indépendant/micro-partis;
aucun parti;Indépendant/micro-partis;
Union pour Paris;Indépendant/micro-partis;
Mouvement autonome solidarité sauvegarde espoir;Indépendant/micro-partis;
centre-centre gauche;Indépendant/micro-partis;
Mouvement populaire alsacien;Indépendant/micro-partis;
Mouvement social-chrétien;Indépendant/micro-partis;
Mouvement de solidarité avec le Tiers Monde;Indépendant/micro-partis;
giscardien déçu;Indépendant/micro-partis;
Verts indépendants;Indépendant/micro-partis;
Esquerra catalana dels treballadors;Indépendant/micro-partis;
radicaux-écologistes;Indépendant/micro-partis;
Mouvement populiste français;Indépendant/micro-partis;
Association nationale Pétain-Verdun;Indépendant/micro-partis;
giscardien;Indépendant/micro-partis;
gaullistes de la majorité présidentielle;Indépendant/micro-partis;
Responsabilités partagées;Indépendant/micro-partis;
Volem viure au pais movement socialista e autonomista occitan;Indépendant/micro-partis;
Comité antinucléaire de Golfech;Indépendant/micro-partis;
Elus gaullistes du progrès;Indépendant/micro-partis;
Amis de la Vallée de la Seine;Indépendant/micro-partis;
Démocratie socialiste;Indépendant/micro-partis;
communiste critique;Indépendant/micro-partis;
chiraquien;Indépendant/micro-partis;
centre libéral;Indépendant/micro-partis;
centre libéral indépendant;Indépendant/micro-partis;
chiraquien indépendant;Indépendant/micro-partis;
droite libérale tendance giscardienne;Indépendant/micro-partis;
socialiste chrétien;Indépendant/micro-partis;
radical-socialiste réformateur;Indépendant/micro-partis;
Mouvement de défense de l'exploitation familiale;Indépendant/micro-partis;
Syndicat national des instituteurs;Indépendant/micro-partis;
Protection contre les rayons ionisants;Indépendant/micro-partis;
Voie de la Paix;Indépendant/micro-partis;
Défense des droits des citoyens;Indépendant/micro-partis;
Famille des victimes de St-Laurent-du-Pont;Indépendant/micro-partis;
Groupement d'action judiciaire;Indépendant/micro-partis;
Socialisme et démocratie;Indépendant/micro-partis;
Ecologie et survie;Indépendant/micro-partis;
Mouvement des humanistes vrais des républicains sincères et des progressistes modérés;Indépendant/micro-partis;
Centre Progrès et Démocratie moderne;Indépendant/micro-partis;
Républicains indépendants giscardiens;Indépendant/micro-partis;
Rassemblement des démocrates chrétiens;Indépendant/micro-partis;
Autogestion écologie 85;Indépendant/micro-partis;
Terre prochaine;Indépendant/micro-partis;
Parti socialiste guyanais;Indépendant/micro-partis;
Parti de l'arbre;Indépendant/micro-partis;
EDEN;Indépendant/micro-partis;
Mouvement socialiste-démocrate européen;Indépendant/micro-partis;
Organisation communiste de France;Indépendant/micro-partis;
droite autonome;Indépendant/micro-partis;
Groupement Thémis;Indépendant/micro-partis;
Parti des chômeurs et des mécontents;Indépendant/micro-partis;
Entente pour la démocratie et l'écologie en Normandie;Indépendant/micro-partis;
Comité d'urgence anti-répression homosexuelle;Indépendant/micro-partis;
Comité homosexuel de l'Ouest parisien;Indépendant/micro-partis;
Comité anti-raciste de Nanterre;Indépendant/micro-partis;
Mouvement écologiste;Indépendant/micro-partis;
Mouvement liberté légalité;Indépendant/micro-partis;
Républicains et démocrates de progrès;Indépendant/micro-partis;
républicaine démocrate;Indépendant/micro-partis;
Parti républicain valoisien;Indépendant/micro-partis;
Font indépendantiste;Indépendant/micro-partis;
Comité socialiste calédonien;Indépendant/micro-partis;
Pourquoi pas Le Havre;Indépendant/micro-partis;
Parti socialiste calédonien;Indépendant/micro-partis;
Front uni de libération kanak;Indépendant/micro-partis;
Libération Kanak socialiste;Indépendant/micro-partis;
confédération A29;Indépendant/micro-partis;
PROMESSE;Indépendant/micro-partis;
Alliance rouge et verte;Indépendant/micro-partis;
Emgann;Indépendant/micro-partis;
Egalité XXe;Indépendant/micro-partis;
Fédération départementale des indépendants de Charente-Maritime;Indépendant/micro-partis;
Contre le vote des immigrés;Indépendant/micro-partis;
libre divers droite;Indépendant/micro-partis;
Mouvement aixois des indépendants et libéraux;Indépendant/micro-partis;
radical;Indépendant/micro-partis;
Groupe socialiste internationaliste;Indépendant/micro-partis;
Nouvelle génération;Indépendant/micro-partis;
Parti humaniste;Indépendant/micro-partis;
Union libérale de progrès;Indépendant/micro-partis;
communiste révolutionnaire trotskyste;Indépendant/micro-partis;
Front uni de soutien au Sud-Vietnam;Indépendant/micro-partis;
Esquerra Catalana dels Treballadors;Indépendant/micro-partis;
Parti fédéraliste européen de Catalogne;Indépendant/micro-partis;
Accio régionalista catalana;Indépendant/micro-partis;
Dem Ve;Indépendant/micro-partis;
Gauche européenne;Indépendant/micro-partis;
Front Nord anti-communiste;Indépendant/micro-partis;
Mouvement fédéraliste européen;Indépendant/micro-partis;
Démocrates chrétiens Ve République;Indépendant/micro-partis;
Contre révolution en France;Indépendant/micro-partis;
Front français;Indépendant/micro-partis;
Sos contre la corruption;Indépendant/micro-partis;
Convergence des pays de Siagne;Indépendant/micro-partis;
Alternatives écologiques;Indépendant/micro-partis;
Entente libérale libertaire européenne;Indépendant/micro-partis;
Comité départemental de soutien à François Mitterrand;Indépendant/micro-partis;
Comités d'initiative pour une nouvelle politique de gauche;Indépendant/micro-partis;
modérés;Indépendant/micro-partis;
indépendant divers droite gaulliste;Indépendant/micro-partis;
centriste démocrate indépendant;Indépendant/micro-partis;
Ligue trotskyste;Indépendant/micro-partis;
Trop d'immigrés la France aux français;Indépendant/micro-partis;
Union des centristes de France;Indépendant/micro-partis;
Parti radical-socialiste valoisien;Indépendant/micro-partis;
Républicain indépendant démocrate;Indépendant/micro-partis;
Racines du futur;Indépendant/micro-partis;
Vida Nova;Indépendant/micro-partis;
Action française;Indépendant/micro-partis;
Véritable rassemblement de la population;Indépendant/micro-partis;
vert indépendant;Indépendant/micro-partis;
Démocrate;Indépendant/micro-partis;
Union monsoise d'action municipale et familiale;Indépendant/micro-partis;
Jeunes Indépendants;Indépendant/micro-partis;
socialisme;Indépendant/micro-partis;
radical-socialiste indépendant;Indépendant/micro-partis;
Parti démocrate socialiste;Indépendant/micro-partis;
gaullisme de gauche;Indépendant/micro-partis;
Comités anti-nucléaires;Indépendant/micro-partis;
Comité de soutien à l'action du président de la République;Indépendant/micro-partis;
Union nationale régionaliste;Indépendant/micro-partis;
Mouvement pour l'organisation de la Bretagne;Indépendant/micro-partis;
Union régionale d'action européenne;Indépendant/micro-partis;
Mouvement européen français;Indépendant/micro-partis;
Mouvement pour la géniocratie mondiale;Indépendant/micro-partis;
indépendantes;Indépendant/micro-partis;
Movement socialista occitan Volem viure al païs;Indépendant/micro-partis;
centriste gaulliste;Indépendant/micro-partis;
Seine-Saint-Denis autrement Ecologie 93;Indépendant/micro-partis;
Union centriste libérale;Indépendant/micro-partis;
Fédération nationale des Indépendants;Indépendant/micro-partis;
Nature et progrès;Indépendant/micro-partis;
Mouvement universel humanitaire du travail SOS chômage;Indépendant/micro-partis;
indépendant gaulliste;Indépendant/micro-partis;
mouvements occitanistes;Indépendant/micro-partis;
républicain indépendant;Indépendant/micro-partis;
Initiative démocratique de gauche;Indépendant/micro-partis;
Rassemblement des gaullistes de progrès;Indépendant/micro-partis;
Jeunes sociaux libéraux;Indépendant/micro-partis;
Archipel Demain;Indépendant/micro-partis;
Club Tocqueville;Indépendant/micro-partis;
Parti mystico-rationaliste guadeloupéen;Indépendant/micro-partis;
Val-de-Marne écologie;Indépendant/micro-partis;
humaniste;Indépendant/micro-partis;
Gauche Ve République;Indépendant/micro-partis;
Comité d'action régionale;Indépendant/micro-partis;
mouvements de femmes;Indépendant/micro-partis;
Mouvement d'action non-violente;Indépendant/micro-partis;
Radicaux valoisiens;Indépendant/micro-partis;
socialiste humaniste;Indépendant/micro-partis;
Rassemblement démocratique pour l'avenir de la Corse;Indépendant/micro-partis;
Mouvement républicain populaire;Indépendant/micro-partis;
Union démocrate Ve République;Indépendant/micro-partis;
Parti des radicaux modérés;Indépendant/micro-partis;
Morlaix écologie;Indépendant/micro-partis;
Mouvement européen économique et social;Indépendant/micro-partis;
Ve République;Indépendant/micro-partis;
Verts autonomes;Indépendant/micro-partis;
Rassemblement niçois;Indépendant/micro-partis;
Centrisme-Réformateur;Indépendant/micro-partis;
Centre Démocratie et Progrès et Démocratie moderne;Indépendant/micro-partis;
Indépendants et Paysans;Indépendant/micro-partis;
Parti agraire et paysan;Indépendant/micro-partis;
Cercle réformateur;Indépendant/micro-partis;
Parti républicain radical et radical-socialiste;Indépendant/micro-partis;
Mouvement national des élus locaux;Indépendant/micro-partis;
Union nationale des travailleurs indépendants;Indépendant/micro-partis;
Mouvement pour la justice et la liberté;Indépendant/micro-partis;
Association pour de nouvelles perspectives à gauche;Indépendant/micro-partis;
Mouvement des démocrates libéraux;Indépendant/micro-partis;
Action et fidélité gaulliste;Indépendant/micro-partis;
Front Nord Anti-communiste;Indépendant/micro-partis;
Ligue pour les libertés publiques;Indépendant/micro-partis;
société civile;Indépendant/micro-partis;
républicain démocrate indépendant;Indépendant/micro-partis;
Ensemble aujourd'hui;Indépendant/micro-partis;
Comité défense droits constitutionnels;Indépendant/micro-partis;
Pour la France;Indépendant/micro-partis;
Parti de la politique inter-culturelle;Indépendant/micro-partis;
Convergence;Indépendant/micro-partis;
fédéraliste occitan et européen;Indépendant/micro-partis;
contre les partis politiques;Indépendant/micro-partis;
Groupe union et défense;Indépendant/micro-partis;
Union progressiste;Indépendant/micro-partis;
Comité républicain;Indépendant/micro-partis;
libéraux socialistes européens;Indépendant/micro-partis;
Parti socialiste démocratique;Indépendant/micro-partis;
Club des Jacobins;Indépendant/micro-partis;
Ligue nationale pour la liberté des vaccinations;Indépendant/micro-partis;
droite libérale démocratique;Indépendant/micro-partis;
Agricultura Viva;Indépendant/micro-partis;
Fédération écologique girondine;Indépendant/micro-partis;
Biosphère pour demain;Indépendant/micro-partis;
Blanc c'est exprimé;Indépendant/micro-partis;
Forum progressiste;Indépendant/micro-partis;
France 16;Indépendant/micro-partis;
En Calvados l'écologie n'est pas à vendre;Indépendant/micro-partis;
Rassemblement des démocrates normands;Indépendant/micro-partis;
Mouvement national de lutte pour l'Environnement;Indépendant/micro-partis;
Convention générale de Bretagne;Indépendant/micro-partis;
Urbains gogologistes;Indépendant/micro-partis;
Association O comme Oxygène;Indépendant/micro-partis;
Mouvement rénovateur nouvelle génération;Indépendant/micro-partis;
Collectif aquitano-occitan pour le non à Maastricht;Indépendant/micro-partis;
Unitat d'Oc;Indépendant/micro-partis;
Parti radical transnational;Indépendant/micro-partis;
Arc en ciel;Indépendant/micro-partis;
UTILE;Indépendant/micro-partis;
Collectif Vraiment à gauche;Indépendant/micro-partis;
Solidarité environnement;Indépendant/micro-partis;
Académie Ausone;Indépendant/micro-partis;
Centristes de progrès;Indépendant/micro-partis;
Parti corse;Indépendant/micro-partis;
Action zoophile;Indépendant/micro-partis;
Académie des sciences humaines universelles;Indépendant/micro-partis;
gaulliste de gauche;Indépendant/micro-partis;
Club gardois des libéraux-sociaux;Indépendant/micro-partis;
Neuropédagogues girondins;Indépendant/micro-partis;
Citoyens actifs;Indépendant/micro-partis;
Amis saumurois de l'écologie;Indépendant/micro-partis;
Parti d'en rire;Indépendant/micro-partis;
Skyrock Quercy Rouergue;Indépendant/micro-partis;
Scouts européens d'Aquitaine;Indépendant/micro-partis;
A gauche autrement;Indépendant/micro-partis;
Association pour la défense de Bordeaux;Indépendant/micro-partis;
aucune formation politique;Indépendant/micro-partis;
espoirs 93;Indépendant/micro-partis;
Club des démocrates;Indépendant/micro-partis;
Comité pour l'union du Loir-et-Cher;Indépendant/micro-partis;
Ecologie alternatives autogestion;Indépendant/micro-partis;
radical réformateur;Indépendant/micro-partis;
Radicaux-Réformateurs;Indépendant/micro-partis;
Indépendant et Paysan;Indépendant/micro-partis;
Démocrates de Gauche;Indépendant/micro-partis;
Association des élus écologistes de l'Isère;Indépendant/micro-partis;
Mouvement France régions;Indépendant/micro-partis;
Mouvement écologique unifié;Indépendant/micro-partis;
droite modérée;Indépendant/micro-partis;
France Planète 21;Indépendant/micro-partis;
Groupe opposition nouvelle génération;Indépendant/micro-partis;
Fédération écologique des usagers et consommateurs;Indépendant/micro-partis;
Amicale gaulliste des Flandres;Indépendant/micro-partis;
Parti libre;Indépendant/micro-partis;
Ligue socialiste des travailleurs;Indépendant/micro-partis;
droite indépendante;Indépendant/micro-partis;
Entraide sociale bordelaise;Indépendant/micro-partis;
Comité national d'action contre le bruit;Indépendant/micro-partis;
formation politique;Indépendant/micro-partis;
Nature Environnement Santé;Indépendant/micro-partis;
droite démocratique;Indépendant/micro-partis;
Ras le bol;Indépendant/micro-partis;
Union du peuple alsacien;Indépendant/micro-partis;
Comité pour l'Europe des Patries;Indépendant/micro-partis;
Association pour le développement de la démocratie directe;Indépendant/micro-partis;
Fraternité française;Indépendant/micro-partis;
Cercle national des femmes d'Europe;Indépendant/micro-partis;
Mouvement des chrétiens pour la Ve République;Indépendant/micro-partis;
Jeunes Centre national des indépendants;Indépendant/micro-partis;
Cercle national des agriculteurs;Indépendant/micro-partis;
Cercle national des combattants;Indépendant/micro-partis;
Centre républicain pour une démocratie moderne;Indépendant/micro-partis;
mouvements écologistes;Indépendant/micro-partis;
Grenoble écologie;Indépendant/micro-partis;
Rassemblement républicain;Indépendant/micro-partis;
Esquerra republicana de Catalunya;Indépendant/micro-partis;
AVEC;Indépendant/micro-partis;
France Islam laïcité;Indépendant/micro-partis;
Cercle communautaire laïc juif;Indépendant/micro-partis;
Association pour la culture bretonne;Indépendant/micro-partis;
Cultures et laïcité;Indépendant/micro-partis;
VRAIS écologistes;Indépendant/micro-partis;
Ecologie solidarités;Indépendant/micro-partis;
Alliance libre européenne;Indépendant/micro-partis;
Mouvement région Savoie;Indépendant/micro-partis;
Parti breton;Indépendant/micro-partis;
Cahiers Occitanie rouge;Indépendant/micro-partis;
progressistes;Indépendant/micro-partis;
Comités pour l'autogestion;Indépendant/micro-partis;
droite libérale et républicaine;Indépendant/micro-partis;
Parti réformiste;Indépendant/micro-partis;
Parti démocrate;Indépendant/micro-partis;
Fédération des usagers des transports d'Ile-de-France;Indépendant/micro-partis;
non-violent;Indépendant/micro-partis;
Virage 93;Indépendant/micro-partis;
Unir et agir pour Gagny;Indépendant/micro-partis;
Gauche socialiste;Indépendant/micro-partis;
vert et rouge;Indépendant/micro-partis;
Alternative libertaire;Indépendant/micro-partis;
Union départementale d'opposition 93;Indépendant/micro-partis;
Jeunesse nationaliste révolutionnaire;Indépendant/micro-partis;
giscardien de progrès;Indépendant/micro-partis;
Mouvements gaullistes et démocrates;Indépendant/micro-partis;
Rassemblement des usagers des services publics et des contribuables;Indépendant/micro-partis;
Mouvements gaullistes et des démocrates;Indépendant/micro-partis;
Mouvement pour le désarmement la paix;Indépendant/micro-partis;
modéré;Indépendant/micro-partis;
Montagne sans frontière;Indépendant/micro-partis;
Centre chrétien populaire;Indépendant/micro-partis;
Rassemblement des républicains et des démocrates de progrès;Indépendant/micro-partis;
Union centriste républicaine indépendante;Indépendant/micro-partis;
Rencontres écologie et solidarités;Indépendant/micro-partis;
Centristes;Indépendant/micro-partis;
Mouvement républicain social et démocratique;Indépendant/micro-partis;
Mouvement rural de jeunesse chrétienne;Indépendant/micro-partis;
Centre démocratie et progrès;Indépendant/micro-partis;
Mouvement social démocrate de France;Indépendant/micro-partis;
Mouvement pour la condition masculine;Indépendant/micro-partis;
Mouvement d'écologie spirituelle;Indépendant/micro-partis;
Ecologie occitane;Indépendant/micro-partis;
Aix écologie;Indépendant/micro-partis;
Institut de recherche socialiste;Indépendant/micro-partis;
Comité d'action du Val-de-Marne contre le bruit;Indépendant/micro-partis;
